,no,type,people,org,article,comm
12,3,新聞評論獎,石齊平,工商時報,「經濟力、社會力、政治力-我們對台灣政經社體制改造的觀察」等十六篇,作者所提「經濟力、社會力、政治力-我們對台灣政經社體制改造的觀察」等十六篇評論，不但具有系統性，且能從客觀角度剖析台灣社經體制未來應發展之方向。作者文字生動靈活，並能以其深厚之學養與理論基礎融入評論中，使論述不僅富於廣度，且具深度。
13,3,新聞攝影獎,林錫銘,聯合報,風雨後的寧靜,反映時代變革脈搏，生動表現五二０事件過程，捕捉角度獨到，引人省思。攝影技巧精良，具現場感。
14,4,新聞採訪報導獎,呂德理,中國時報,鎘米外流風波,作者由一研究報告發掘問題，觸覺敏銳，並且追蹤採訪，鍥而不捨，寫作詳實深入，充分發揮媒介監督政府，維護社會福祉功能。
15,4,新聞特寫獎,從缺,從缺,從缺,從缺
16,4,新聞評論獎,彭垂銘,工商時報,為明日的政經大國紮穩根基-「經營李內閣的第一要務」等社論十篇,文字簡潔流暢，論議廣泛；自外交、金融至農業等問題，皆有觸及，顯示作者有相當豐富且廣泛的經驗，能與時代脈動契合，且立論每有獨到之處，具有一定水準的見識，頗為難得。
17,4,新聞攝影獎,洪克紀,自由時報,……ZZZZZ,洪克紀先生以「ZZZZZ」得獎，圖中為行政首長在立法院列席備詢時之辛勞；和一位資深立委倦極小寐的鏡頭，生動有幽默感，亦反映出今天中央民意機構裡的問題。
18,4,新聞漫畫獎,林奎佑,自立報系,解嚴之後李總統主政之台灣時局,魚夫的漫畫常有使人會心一笑之作。諷評時事，入木三分。
19,4,特別攝影獎,程思迪,聯合報,天安門事件-民主之春,從多種角度捕捉天安門學運現場之氣氛，運鏡靈活，刻畫深刻，為爭民主自由之歷史留下忠實記錄。
20,5,新聞採訪報導獎,徐尚禮、林琳文、戴雪詠,中國時報,揭開大陸中醫中藥的神秘面紗系列報導,「揭開大陸中醫中藥神秘面紗」針對國內民眾既感興趣又關係到生命健康的問題做了有系統的採訪。不但剖析大陸中醫中藥發展的極限，並指出兩岸交流可能衍生之藥害及醫療問題，因此深受讀者、國內藥政單位乃至於大陸醫藥界之重視。對兩岸中醫交流、改進及中醫健全發展，都將發生深遠之影響。該報導以兩個月的時間深入大陸各地採訪，又以一個月的時間連載，在專業性與計畫性方面也顯得可圈可點。
21,5,新聞特寫獎,從缺,從缺,從缺,從缺
22,5,新聞評論獎,汪彝定,工商時報,喁喁集-「一位新聞評論者對國家社會進步的關懷」,喁喁集-一位新聞評論者對國家社會進步的關懷作者之評論文章涵蓋面甚廣，而皆能鞭辟入裡，銳利卻不失公允，足以匡正時弊。文字洗鍊尤為諸作之冠。
23,5,新聞攝影獎,龍啟文,聯合報,有驚無險,「有驚無險」攝影者龍啟文先生，能在意外事件發生的剎那，抓住三個連續鏡頭，並保持良好攝影品質，充分發揮了新聞攝影的特質。
24,5,新聞漫畫獎,羅慶忠,自立晚報,海峽兩岸漫畫系列,作者以民間乘馬頭向前衝去，政府乘馬身停滯不前來譏諷我國大陸政策的現況。民間帶領政府而不免稚氣，政府穩如泰山，卻茫無目標。此作寓意恰切，表現方法簡潔明快，清新有趣，而富於創意，在技巧上亦甚成熟，人物造型生動。
25,6,新聞採訪報導獎,王淑珍林雨鑫,聯合報,中日貿易逆差系列報導,中日貿易逆差系列報導，針對日商對台灣市場的控制策略，以及我國對日貿易逆差，作有系統陸續調查報導，取材豐富，剖析深入，並提供尋求對策的參考。
26,6,新聞評論獎,傅棟成,工商時報,消弭亂象開創國家新局,作者評論問題的多樣性，與切入問題的多角度，顯示知識廣博，思緒綿密，而又不拘一格。文字暢順，有時峰迴路轉，產生甚高說服力，非一般不痛不癢之作可比。
27,6,地方新聞獎,陳景清陳寶容,中國時報,從空軍志航基地軍機噪音問題,針對志航空軍基地和東線鐵路對臺東地區所造成之噪音問題做深入而全面的報導，並配合座談會的召開，以求解決途徑，誠為難得之作。此外，本報導能在一般人印象中寧靜的東部，凸顯嚴重的噪音問題，更具有發掘地方社會新聞之意義。
28,6,文化專題報導獎,李梅齡,中國時報,台灣文化異象探討文化比較重大文化事件探討,針對台灣文化與藝術的特殊表現，作者提出若干有系統性的探討，並把台灣藝術與國際環境作比較，使台灣藝術的一些缺點顯露出來如何保護與加速推展台灣藝術與文化的進一步發展，是國人大家的願望，也是作者提出來的問題。作者在這方面有相當深入的討論。
29,6,新聞攝影獎,程思迪,聯合報,金牌的感覺,攝影技巧熟練，能夠掌握主體剎那間的表情，足以讓讀者立即體會，並引起共鳴，且對社會具有積極鼓舞的效果，振奮民心士氣。
30,6,新聞漫畫獎,蔡海青,民生報,立法院系列,畫者對當前政經衝突，極具掌握能力，尤其對比強烈，發人深省。至其筆觸純熟，更屬上乘。
31,7,新聞採訪報導獎,張平宜,中國時報,愛滋病防治系列,深受關注的主題，多角度取材，兼顧專家析論與患者心態，並對若干實際狀況及環境直接觀察報導，又復運用專業資料及訪問專家對一般大眾提供正確認知及防範參考資訊，寫作處理及結構安排亦頗流暢。
32,7,新聞評論獎,盧世祥,經濟日報,創建台灣經濟現代化的架構,經濟日報盧世祥先生所著社論十篇，皆能就當前問題，做深度分析，顯示其癥結，提供具體解決建議。其於八十一年三月八日發表之「六年國建與政府的角色」一文，堪為範例。文中指出國建計畫經費龐大，政府部門未在執行之前，先建立共識，以致開始執行後，遂即引起財政捉襟見肘之危機，亟宜考慮補救之計。爰建議：（一）積極鼓勵民間參與，運用民間藏富籌措部分財源，同時並可達到公營事業民營化之目的。（二）評估建設計畫成本效益，篩減其中目前非急要部分，規劃並控制進行步驟。（三）延攬一流人才為政府服務，限制員額膨脹，以期形成有能、有效、有為的政府。盧先生所發表之社論，類皆評?切實中肯，態度積極前瞻，建議具體可行。本會爰決定予以授獎。
33,7,地方新聞獎,陳玉蘭,自由時報,從濫墾到農業上山看草嶺潛伏的山林環保危機,報導重點設定地方上久被忽視的土地基本資源危機，資料豐盛，態度客觀，探究深刻，文筆暢順，確為佳作。
34,7,文化專題報導獎,李奕興,中國時報,古蹟搶救系列,以熱愛歷史文化之心，報導古蹟系列，深入詳盡，至為感人。尤其以非專業之筆，報導淡水河口十三行遺址之搶救，不遺餘力，極為難得。由於筆者之呼籲與報導，十三行遺址遂引起民眾與政府之共同關心，導致遺址得以相當程度地保存。
35,7,新聞攝影獎,黃子明,中時晚報,資深立委四十三年任期的最後一天,在有限制的時間與環境，從眾多對象中，抓住四種不同表情神態各具代表性，其中一二頗為傳神。四張作品發揮出新聞攝影的特性。
36,7,新聞漫畫獎,鄭福源,經濟日報,國建六年計畫,以數幅圖片對六年國建的可能面臨問題，做了完整與簡要的勾劃，令讀者一目了然，並對政府的規劃缺失，給予溫和批評。
37,7,雜誌新聞報導獎,李傳楷何亞威,遠見雜誌,長江的故事,今春中共人大通過興建三峽大壩後，唯恐當地景致、風光不再，前往「朝聖」者絡繹於途。作者特溯源而上，自人文與自然、精神與物質層面，深入探討長江對中國人的意義，以及建壩的利弊得失。本專題報導圖文並茂，版面設計明朗大方，讀來翔實生動，甚稱佳作。
38,8,新聞採訪報導獎,李淑娟詹建富張耀懋袁子倫薛桂文,民生報,「醫院：毒品流通的中際站？麻醉藥品流向追、追、追」,記者群鍥而不捨、深入調查報導醫院涉入毒品買賣，揭發醫生濫施麻醉劑予患者，並檢討毒品管理的缺失，充分發揮深度報導的精神，因而促使麻醉藥品臨床使用規範重新獲得檢視及修正，對病患權益之增進有所貢獻。在當前反毒運動聲浪中，該項專題報導對社會所產生的影響力，值得肯定。
39,8,新聞評論獎,石齊平,工商時報,台灣內部評論大陸方面評論兩岸關係評論,作者以深厚之經濟素養，宏觀的析論角度，嚴謹的寫作結構，探討台灣及大陸所面臨的政治、經濟與社會問題，並指出未來改善的方向。其文筆洗練、見識卓越、立論精闢，殊堪得獎。
40,8,地方新聞獎,邱家宜,自立晚報,隨水逝去的鄉愁─美濃客家庄反水庫記要系列,報導地方反水庫興建之過程，文字清新，報導深入。把美濃客家庄居民的鄉愁心情，用傳統與現代矛盾的現象作比喻，描述得入木三分。
41,8,文化專題報導獎,徐開塵紀慧玲,民生報,喧蟬鬧荷說九歌,以古典的情懷、現代的理念與感受，描繪一個深受大眾喜愛的文化活動，喧蟬鬧荷中帶有一份平靜的哲理，感人至深。
42,8,新聞攝影獎,林少岩,中時晚報,民主新頁「二屆立委選舉─我國民主憲政發展的里程碑」,本系列圖片觀照面相當廣，每幀圖片的內函均甚突出；圖片效果充分顯現作者的觀察入微，拍攝用心，且具人情趣味。故能脫穎而出，決定給獎。
43,8,新聞漫畫獎,從缺,從缺,從缺,從缺
44,8,雜誌新聞報導獎,莊素玉游常山林文玲,天下雜誌社,土地之怒,本文針對日趨惡化之台灣土地問題，分析其歷史根源與法令缺失，對當前金權掛鉤、貧富不均之連帶現象有深入報導。全文素材豐富，說理流暢，堪稱佳作。
45,9,新聞採訪報導獎,張啟楷,中國時報,搶救瀕臨破產的國庫－八十四年度總預算系列專題探討,本作品以深入淺出的方式做生動的報導，並系統性地剖析民國八十四年度總預算編列中的重要問題，如首長公費、特別費、公費出國、重大工程預算追加等，充份顯示作者的專業素養及能力。
46,9,新聞評論獎,鍾俊文,工商時報,金融改革,評論問題顯示其高度專業素養，且多能從不同角度切入，論述周延宏觀而有說服力。文字平實流暢。
47,9,地方新聞獎,張耀懋,民生報,走過全民健保光芒照耀不到的死角《偏遠地區醫療問題探討》,以全民健保為焦點，深入偏遠地區探討現狀及其困難，對引發讀者關懷頗有助益。另外加上醫療獎得主的介紹，正好配合地方民眾的心聲，以及傳播善行芳表的美意，寓新聞於報導中，可謂善盡記者之職。
48,9,文化專題報導獎,陳政博,中央日報,文化城之源,報導台中古城之文化淵源十分深入，雖沒有動人的圖片，但經由樸質的描述，濃厚的感情，深刻的理解，使台中文化城的圖像躍然紙上。
49,9,新聞攝影獎,馮金桁,聯合報,火海亡命,掌握事件發生時機、速度、角度、動態、新聞感，均有適切表現。
50,9,新聞漫畫獎,鄭福源,經濟日報,大陸政策與外交關係,人物傳神，筆觸活潑，諷刺大陸政策的混亂，台商的無所適從，令人莞爾。
51,9,雜誌新聞報導獎,游常山刁曼蓬姚明嘉姜雪影李明軒,天下雜誌,土地與財富的爭奪系列報導,此報導經過長期追蹤、採訪，涵蓋面甚廣，既描繪現象，亦指出問題，提出批評，相當翔實而深入，頗發人深省，殊堪得獎。
52,10,新聞報導獎,池宗憲，一九五七年生，浙江省平陽縣人。輔仁大學大眾傳播系學士，現任大成報副總編輯。吳靈芬，一九五六年生，安徽省歙線人。輔仁大學大眾傳播系學士，現任大成報採訪副主任。許金禾，一九五九年生，台灣省台北縣人。文化大學經濟系學士，現任大成報採訪組副組長。萬華欣，一九六九年生，河南省光山縣人。美國德州大學奧斯丁分校新聞碩士，現任大成報記者。,大成報,無情火命難逃,本新聞專題深入報導台灣公共建築防火的死角，暴露公司機關漠視公共安全的自私自利心態，對一連串發生造成多起人命的慘劇，提供了清晰「認知地圖」，克盡新聞記者的專業論哩，直得肯定。
53,10,地方新聞獎,吳南山，一九五六年生，台灣省台南縣人。文化大學新聞系學士，現任中國時報特派記者張瑞昌，一九六五年生，台灣省台中縣人。世界新專新聞系編輯組畢業，現任中國時報特派記者。林志雄，一九五八年生，台灣省宜蘭縣人。國立政治大學外交系學士，現任中國時報特派記者。張澄輝，一九五九年生，台灣省嘉義縣人。世界新專新聞系編輯組畢業，現任中國時報記者。,中國時報,掃除非法垃圾場毒瘤,過去四十年台灣社會的發展雖然快速，但都市與地方的成長並不均衡。在缺乏長期規劃與有效執法的情況下，問題一一浮現，垃圾處理便是其中一例。彰化福興鄉出現非法垃圾場事件，係受到非法勢力掌控，在報社支持下，不但揭發此一弊案，且鍥而不捨，持續追蹤事件的發展，終使垃圾場關閉。這一系列報導記者克盡職責、促進地方福祉所做的努力，彼等之專業勇氣直得肯定。惟若能對相關問題在做進一步探討，應更為理想。
54,10,文化專題報導獎,賴素鈴，一九六五年生，台灣省彰化市人。東海大徐美術系學士，現任民生報文化版記者。,民生報,國寶美蹤－承先啟後之旅,以實地採訪報導之方式，呈現故宮文物赴美展覽之歷史溯源，與今、昔時空背景之對照。雖屬靜態素材，唯作者用心，致力甚深；其文字細膩，內容豐富，間距知識性與啟發性，對國人文化是也的開拓，當有所助益。
55,10,新聞攝影獎,林少岩，一九五六年生，福建省龍溪縣人。美國密蘇里大學新聞研究所碩士，現任中時晚報攝影記者。,中時晚報,古今協奏曲－摩登新人類古禮定終身,以獨到的切入點貫穿不同新聞事件，觀察入微，捕捉準確，趣味橫生，在當前政治經濟為熱門主題報導下，令人耳目一新。
56,10,新聞漫畫獎,蔡海青〈季青〉，一九六0年生，福建省金門人。國立台灣藝專美術系國畫組肄業，現任民生報漫畫編輯。,民生報,全民健保系列,全民健保是近年來我國政府起立推動的一項社會福利政策，對全民福祉有重大影響。然而有關規劃本即不良，加以在配合致度尚未具體即倉促實施，就醫者與醫療單位均稱不變，民怨四起。本系列漫畫，將被社會詬病的幾個問題，以幽默諷刺的方式表現，構圖極富巧思，善盡針貶功能，充分發揮了漫畫的特色。
57,10,雜誌新聞報導獎,刁曼蓬，一九五六年生，河北省故城縣人。英國艾斯大學歐洲研究碩士，現任天下雜誌資深撰述。,天下雜誌社,公營事業落入財團私囊系列報導,本單元作者經常追蹤調查，揭露威京集團利用股市操作，鯨吞禪時中工與中石化的手法，並對中鋼可能遭到相同命運提出警語。不但適時阻止威京的企圖，始終剛免於落入財閥之手；也因此促使政府修正公營事業股票出售方式，全國民眾因而有餐與中鋼民營化的機會，中鋼的經營遂能掌握在專業經理人手中並為未來其他公營事業民營化開出一條新路。製作本報導的動機、膽識、道德勇氣，以及所展現的專業能力與後續影響力，殊堪肯定，值得嘉獎。
58,11,新聞報導獎,吳靈芬，一九五六年生，安徽省歙線人。輔仁大學大眾傳播系學士，現任大成報採訪副主任。,大成報,台北，走調都市－生活品質的無奈,自市容外觀與生活內涵，描繪台北市大都會荒腔走板的發展，並自歷史的縱軸探討致病之因。探訪人士甚多，包含角度亦廣；自學者專家口中借取的他山之石，在指出問題之外亦試圖對症下藥，使此系列報導具系統性與前瞻性價值觀。
59,11,地方新聞獎,陳玉蘭，一九六0年生，台灣省花蓮縣人。靜宜大學中文系學士，現任自由時報地方駐在記者。,自由時報,我的海岸我的愁,記者為在地記者，對地方性問題相當了解，所做報導主題明確，焦點集中；自不同角度挖掘問題，提出警示，充分顯現作者對當地水土、生態、資源的憂心與關愛。
60,11,文化專題報導獎,李維菁，一九六九年生，福建省林森縣人。國立台灣大學新聞研究所碩士，現任中國時報文化藝術版記者。,中國時報,一九九六年初故宮國寶赴美展出爭議始末,報導台灣針對文化性議題發起的群眾運動，詳細紀錄台灣民眾關心的議題自政治性、社會性過度至文化的經過，又能對政策部門的決議過程善加評論分析，助促使此事件的發展結果順利圓滿。
61,11,新聞攝影獎,林永昌，一九六五年生台灣省高雄市人。遠東工專電機工程科准學士，現任聯合報攝影記者。,聯合報,雁鴨季天地情,將自然之美、保育之情融於圖片之中，又能將政治人物、青年男女適當嵌入，使人文與自然的合諧躍然紙上，是頗具內涵的好圖片。
62,11,新聞漫畫獎,鄭福源，一九六一年生，福建省東山縣人。東方工專美術工藝科准學士，現任經濟日報漫畫記者。,經濟日報,李登輝的十八套劇本,人物刻劃生動，構圖活潑，寓意幽默風趣。並將海峽兩岸領導人物雙方較勁的形貌、姿態，作了頗為尖銳的諷刺，與意在「圖」外的批評。
63,11,雜誌新聞報導獎,莊素玉，一九五九年生，台灣省台南縣人。日本慶應大學經營管理研究所碩士，現任天下雜誌主編。楊瑪莉，一九六四年生，台灣省台南縣人。國立台灣大學外文系學士，現任天下雜誌資深編輯。鄭一青，一九六六年生，福建省福州人。國立政治大學中文系學士，現任天下雜誌採訪編輯。彭漣漪，一九六五年生，湖南省湘鄉人。國立台灣大學新聞研究所碩士，現任天下雜誌採訪編輯。林宜諄，一九七三年生，台灣省台北縣人。國立政治大學新聞系學士，現任天下雜誌採訪編輯。,天下雜誌社,美麗之島痛山水,台灣的環境問題複雜而陳重，此篇專題報導從各個層面深入探討，以豐富的資料、實地的採訪，詳盡報導台灣環境所面臨的嚴重衝擊、分析性高，說服力亦強，具前瞻性與關懷性。
64,12,新聞報導獎,李彥甫，一九六九年生。國立清華大學電機工程系學士，現任聯合報記者。,聯合報,日全食天象現場報導,大家矚目的天文現象，作者淺顯生動的報導，將專門知識與觀測彗星實地活動融合，動態與專業知識並陳，深入淺出，是科學報導通俗化的具體表現。
65,12,新聞評論獎,黃年，一九四六年生，江蘇省溧楊縣人。國立政治大學政治研究所碩士，現任聯合報總主筆。,聯合報,「修憲，不可毀憲」系列社論十五篇,針對修憲問題作系列討論，所引用之資訊顧及多方面，並根據專業知識立論，批判力強，且富有說服力。
66,12,地方新聞獎,林明宏，一九六五年生，台灣省南投縣人。文化大學園藝系、新聞系雙學士，現任自由時報地方記者。,自由時報,窮山惡水悲家園,就地方性問題，上級中央下至基層作多方面有系統的採訪探討，對擴大地方新聞報導面，加強地方報導深度，有顯著成績。
67,12,文化專題報導獎,紀慧玲，一九六二年生，台灣省台中縣人。國立政治大學新聞系學士，現任民生報藝文採訪記者。,民生報,傳統戲曲的生態觀察與省思,對傳統戲曲今日所面臨之困境，從宏觀與微觀兩個角度作深入之剖析，予人相當徹底之了解，討論範圍及於大陸，尤為難得。
68,12,新聞攝影獎,包承平，一九五四年生，湖南省亦陽縣人。方濟中學普通科畢業，現任中國時報攝影中心副主任。,中國時報,怵目驚心,新聞攝影貴在捕捉新聞新聞事件剎那尖的鏡頭。「怵目驚心」掌握稍縱即逝的瞬間，再悲劇發生的現場所拍下的照片，確實作到以「圖像說新聞」，震撼人心。
69,12,雜誌新聞報導獎,楊瑪莉，一九六四年生，台灣省台南縣人。國立台灣學外文系學士，現任天下雜誌資深編輯。鄭一青，一九六六年生，福建省福州人。國立政治大學中文系學士，現任天下雜誌採訪編輯。莊宗憲，一九七0年生，台灣省澎湖縣人。國立政治大學新聞系學士、社會研究所碩士，現任天下雜誌採訪編輯。,天下雜誌社,第二波土地改革－炒作惡夢又起？,第二波土地改革針對一個影響深遠、錯綜複雜的土地問題，作充分而有系統的專業化分析，文筆流暢，可讀性高，並且深具歷史感與政策涵義，充分多元了調查報導的精神。
70,13,新聞專題報導獎,陳承中，一九五五年生，台北市人。國立政治大學外交系畢業，現任聯合報採訪記者。,聯合報,台灣二次土改：農地農用、不用、誤用，還是濫用？系列報導,團隊表現佳，以專題報導、調查報導的形式，深入完整的報導台灣「二次土地革命」現狀，焦點清楚，文筆生動，能引發讀者重視台灣嚴重的土地問題。本系列難能可貴之處在於：除了發現問題之外，更提出芎焦坑，三星鄉等地，由於農民的自省而導致的土地價值再造。
71,13,新聞採訪報導獎,張宗智，一九六七年生，台灣省台南縣人。國立台灣大學新聞研究所碩士，現任聯合報採訪中心記者。,聯合報,我國與南非斷交系列報導,我國與南非再民國八十六年十二月三十一日斷交後，與南非進入一個所謂「中斐新關係架構」的時代。本報導的記者運用純淨新聞，專題報導、分析報導等不同的報導形式，深入追蹤報導此一新聞事件的發展，字裡行間充分展現記者在採訪和寫作上的專業素養，以及對報導事件的充分掌握。事件結束後，更以三篇系列報導回顧此一事件發展的脈絡，更增加此一報導的完整性。
72,13,新聞評論獎,從缺,從缺,從缺,從缺
73,13,地方新聞獎,林上玉，一九七0年生，台灣省台中市人。世界新聞專科學校報業行政科畢業，現任民生報地方特派記者。,民生報,搶救台灣十大民宅古蹟之首─摘星山莊系列報導,本作品為作者深入此一報導主題，並廣泛採訪後之成果。寫作態度公正客觀，文筆細膩簡潔，甚有助於讀者正確了解地方古蹟之課題，發人深省，亦足以促使公眾與政府重視此一問題。
74,13,文化專題報導獎,徐開塵，一九五九年生，山東省泰安縣人。中國文化大學新聞系畢業，現任民生報藝文採訪記者。張夢瑞，一九五0年生，湖南省茶陵縣人。世界新聞專科學校編輯採訪科畢業，現任民生報藝文採訪記者。,民生報,尋找出路系列報導跨世紀思考台灣出版的新未來,報導深入，採訪面向廣，文筆流暢，對台灣出版業市場之大環境有相當的掌握，並能洞察出版之未來趨向，更能提供台灣出版業尋找未來發展出路時寶貴之參考資訊。
75,13,新聞攝影獎,邱德祥，一九六九年生，台灣省苗栗縣人。世界新聞專科學校編輯採訪科畢業，現任聯合晚報攝影記者。,聯合晚報,絕望的手喚親人,三張圖片中有兩張給人相當大的衝擊感，「僵直的手」令人觸目驚心。尤其是第三張以崩塌之樓房作為背景，紅衣的救難人員抬出罹難者之取景、題材均為上乘。
76,13,新聞漫畫獎,楊心怡〈凌群〉，一九五三年生，四川省資中縣人。世界新聞專科學校編輯採訪科畢業，現任聯合報漫畫編輯。,聯合報,台灣的飛航安全,在空難頻傳，人們談「機」色變之際，作者以一幅簡單的漫畫畫，到出國人之心聲及無奈，充分發揮漫畫之功能及效果。
77,13,雜誌新聞報導獎,鄭一青，一九六六年生，福建省福州人。國立政治大學中文系畢業，現任天下雜誌採訪編輯組。孫曉萍，一九六四年生，湖口省漢口市人。日本同志社大學新聞碩士，現任天下雜誌研究編輯。邱花妹，一九六九年生，台灣省嘉義縣人。國立台灣大學社會研究所碩士，現任天下雜誌編輯。,天下雜誌社,氣候風暴,本系列報導從每個人都切身受到的氣候變化問題切入，談到「京都議定書」對台灣產業界的衝擊，取材涵蓋面廣，報導深入，而且讓讀者注意到平常人忽略掉的重要問題，讀來令人耳目一新，是十分傑出的系列性報導。
78,14,新聞專題報導獎,卓亞雄，一九五三年生，湖北省武昌縣人。東海大學政治系畢業，現任聯合報編輯部特派員。林如森，一九五四年生，台灣省雲林縣人。美國奧克拉荷馬大學犯罪心理研究所碩士，現任聯合報採訪中心記者。李彥甫，一九六五年生，台北市人。國立清華大學電機系畢業，現任聯合報採訪中心科技記者。,聯合報,不重視生物多樣性保育，侈談生技產業,生命科技產業是目前政府與民間相當重視的新興產業。然而，值此政府與民間投入大量資源，全力發展之際，確忽略了生技產業可能帶來的負面影響，也忽略了國際上其他各國預防生技產業負面發展的努力。本系列報導適時的指出國際間為了維護生物的多樣性，協議簽訂「生物安全議定書」，及時提醒政府注意，釐定對策。不僅避免我國生技產業關門作夢的危機，也喚醒政府與民眾對生態環境的重視。
79,14,新聞採訪報導獎,林照真，一九六0年生，台灣省屏東縣人。國立政治大學新聞研究所碩士，現任中國時報社會關懷組召集人。,中國時報,流亡達賴向返鄉採路系列報導,本系列報導掌握「西藏抗暴」四十週年前夕的關鍵時刻，記者深入印度採訪西藏精神領袖達賴喇媽與流亡藏人，企劃周全，新聞敏度高，充分掌握中藏；中台關係微妙互動與藏獨、台獨間的矛盾關係。此一報導極具歷史意義。
80,14,地方新聞獎,林松青，一九五二年生，福建省林森縣人。輔仁大學大眾傳播學系畢業，現任聯合報特派員。林全洲，一九五九年生，台灣省台南縣人。世界新聞專科學校編輯採訪科畢業，現任聯合報記者。雷鳴，一九五九年生，湖北省浦圻縣人。世界新聞專科學校採訪科畢業，現任聯合報記者林昭彰，一九七0年生，台灣省台南縣人。輔仁大學大眾傳播系畢業，現任聯合報記者。,聯合報,「五股山垃圾山追追追」系列報導,本系列報導深入挖掘「五股垃圾山」的成因，記者不斷進入現場，從民意、環保、法律、行政各方面深入探討，對於政府的罰單文化，公務員推拖的作風，黑道與勢力掛勾等，做了極完整的企劃採訪與報導。報導中更以圖表對「五股鄉洪水管制區棄土集團」的作業分是詳細分析協主讀者了解。企劃完整，採訪難度高，報導深入，極具專業水準。
81,14,文化專題報導獎,施美惠，一九五六年生，台灣省台南市人。國立政治大學新聞系畢業，現任聯合報記者。,聯合報,「台灣的原音」群像,台灣居民中雖然有相當高比例的人口有平埔族血統，但平埔族仍為瀕臨消失的族群。作者在本系列作品中一方面訪問學術界中致力於研究平埔文化的學者，另一方面亦下鄉實際探訪平埔部落尚能口傳歌謠的長者，展現出平埔文化的面相，企劃性強，為不可多得之佳作。
